,smiles,MolWt
52,COc1cccc(c1)-c1cc(NCc2ccc3OCOc3c2)nc(N)n1,386.83
53,O=C1c2ccccc2-c2n[nH]c3cccc1c23,220.23
54,c1(nc(nc2c1cc[nH]2)Nc1c(cc2c(c1)N(CC2)C(=O)CN(C)C)OC)Nc1c(c(ccc1)F)C(=O)NC,532.57
55,COc1ccc(cc1)-n1c(SCCCN2C(=O)c3cccc4cccc(C2=O)c34)nnc1-c1ccncc1,521.59
56,c1ccc(cc1)/C=C/C(=O)NC(C(Cl)(Cl)Cl)NC(=S)Nc1cccc2c1nccc2,479.81
57,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(=O)O[C@@H]1O[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,959.15
58,COC1=CC(=O)c2ccccc2C1=O,188.18
59,[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O[C@@](C)(CCC=C(C)C)[C@H]1CC[C@]2([C@@]3(C[C@@H]([C@H]4C([C@H](CC[C@@]4([C@H]3C[C@H]([C@H]12)O)C)O)(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)C)C,933.13
60,[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)Oc1c(cc(cc1)[C@H]1OC[C@H]2[C@@H]1CO[C@H]2c1cc(c(cc1)OC)OC)OC,534.56
61,c1(=O)ccc2c(o1)c(c1c(c2)cco1)OCC=C(C)C,270.29
