,smiles,homo,lumo
93,O=C([CH-]C1=CC=C(C#N)C=C1)OCC,-0.0686,0.13736
94,O=C([CH-]C1=CC=C([N+]([O-])=O)C=C1)OCC,-0.07741,0.09975
95,O=C([CH-]C1=CC=NC=C1)OCC,-0.05807,0.18034
96,C1CNCCC1,-0.27941,0.09169
97,F[B-](F)(F)C(N1C)=CC2=C1C=CC=C2,-0.11336,0.1441
98,F[B-](F)(F)C1=CC(C=CN2C)=C2C=C1,-0.12432,0.14774
99,F[B-](F)(F)C(N1C(OC(C)(C)C)=O)=CC2=C1C=CC=C2,-0.13476,0.13083
100,F[B-](F)(F)C(N1C(OC(C)(C)C)=O)=CC2=C1C=CC(OC)=C2,-0.13566,0.12655
101,F[B-](F)(F)C1=CN(C(OC(C)(C)C)=O)C2=C1C=CC=C2,-0.13547,0.12854
102,CC(C)(C)OC(N1C=CC2=C1C=CC=C2)=O,-0.26641,0.00718
103,F[B-](F)(F)C1=CC=CO1,-0.11979,0.20992
104,F[B-](F)(F)C1=COC=C1,-0.12624,0.20584
105,F[B-](F)(F)C1=C(OC)C=CS1,-0.11222,0.17701
106,COC1=CSC=C1,-0.26974,0.02881
107,[S-]CC([O-])=O,0.16166,0.45172
108,C/N=C/C1=CC=CC=C1,-0.29285,-0.01007
109,C1(/C=N/CC2=CC=CC=C2)=CC=CC=C1,-0.29199,-0.01649
110,C/C(C)=N/C1=CC=CC=C1,-0.26857,0.02002
111,C/C(C)=N/CC1=CC=CC=C1,-0.29551,0.02665
112,C1(/CCCCC1)=N\C2=CC=CC=C2,-0.26625,0.01986
113,CC(OC([CH-]1)=O)(C)OC1=O,-0.08051,0.22041
114,[O-]/C(C1=[N+](C2=C(C)C=C(C)C=C2C)C=CN1C3=C(C)C=C(C)C=C3C)=C(C4=CC=CC=C4)/C,-0.18861,-0.00189
115,CC(CC([CH-]1)=O)(C)CC1=O,-0.06717,0.20348
116,[H]/C([H])=N\N(C)C,-0.26222,0.06385
117,[H]/C([H])=N/N1CCCC1,-0.25183,0.06604
118,O=C([CH-][N+]1=CC=CC=C1)OCC,-0.22541,-0.02517
119,O=C([CH-][N+]1=CC=CC=C1)N(CC)CC,-0.21647,-0.01907
120,N#C[CH-][N+]1=CC=CC=C1,-0.22933,-0.03199
121,O=C(C)[CH-][N+]1=CC=CC=C1,-0.22842,-0.03111
122,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=CC=C2,-0.23144,-0.03927
123,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=C(N(C)C)C=C2,-0.20516,-0.01513
124,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=CC(Cl)=C2,-0.23928,-0.04819
125,CC([CH-]C(C)=O)=O,-0.05817,0.21489
126,O=C(C1=CC=CC=C1)[CH-][N+]2=C(C=CC=C3)C3=CC=C2,-0.22718,-0.05773
127,O=C(C1=CC=CC=C1)[CH-][N+]2=CC=C(C=CC=C3)C3=C2,-0.22725,-0.04821
128,C=C([Si](C)(C)C)C,-0.307,0.04531
129,C=C([Si](C)([Si](C)(C)C)C)C,-0.29261,0.0416
130,C=C([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)C,-0.27002,0.03711
131,C=C([Si](C)(C)C)C1=CC=CC=C1,-0.28171,0.00278
132,C=C([Si](C)([Si](C)(C)C)C)C1=CC=CC=C1,-0.27753,0.00195
133,C[Si](/C=C/C1=CC=CC=C1)(C)C,-0.27601,-0.01126
134,C=C(C1=CC=CC=C1)C[Si](C)(C)C,-0.27742,0.00366
135,C=C([Si](C)(C)C)C1=CC=C(C)C=C1,-0.27291,0.00473
136,CC([CH-]C(OCC)=O)=O,-0.06262,0.21753
137,CCC#CN(CC1=CC=CC=C1)S(C2=CC=C(C)C=C2)(=O)=O,-0.27557,-0.01289
138,CC(C=C1)=CC=C1S(N(CC2=CC=CC=C2)C#CC3=CC=CC=C3OC)(=O)=O,-0.25299,-0.0109
139,CC(C=C1)=CC=C1S(N(CC2=CC=CC=C2)C#CC3=CC=CC=C3)(=O)=O,-0.26817,-0.01574
140,O=C1N(C#CC2=CC=CC=C2)CCC1,-0.25902,0.00012
141,FC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H](CCC3)N3C4=CC=NC=C4,-0.25871,0.00763
142,N#C[CH-]C#N,-0.05083,0.24795
143,O=C1[C-](CC2=CC=C(N(C)C)C=C2)C(OC(C)(C)O1)=O,-0.08392,0.14435
144,[H][C-](C(OCC)=O)C#N,-0.05999,0.21552
145,O=C1[C-](CC2=CC=C(OC)C=C2)C(OC(C)(C)O1)=O,-0.0869,0.13959
146,O=C1[C-](CC2=CC=CC=C2)C(OC(C)(C)O1)=O,-0.08756,0.14451
147,O=C1[C-](CC2=CC=C(C#N)C=C2)C(OC(C)(C)O1)=O,-0.10215,0.09238
148,O=C1[C-](CC2=CC=C([N+]([O-])=O)C=C2)C(OC(C)(C)O1)=O,-0.10426,0.05554
149,[H][C-](C(OCC)=O)C(OCC)=O,-0.06751,0.21709
150,CC1=CC([H])([H])C(C)=CC1,-0.27579,0.06269
151,CC1=CC(C)([H])C=C(C)C1,-0.27731,0.06143
152,CC1=C(C)C([H])([H])C(C)=C(C)C1,-0.26685,0.06792
153,[H]C(C1=CC=C(OC)C=C1)([H])C2=CC=C(OC)C=C2,-0.26026,0.02106
154,N1(/C=C/C2=CC=CC=C2)CCCC1,-0.22012,0.01945
155,C=C1CC1,-0.31513,0.04371
156,N1(/C=C/C2=CC=CC=C2)CCCC1C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,-0.2218,0.00302
157,N1(/C=C/C2=CC=CC=C2)CCCC1[Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,-0.21561,-0.003
158,O=C(C1=CC=CC=C1)[CH-]C2=CC=CC=C2,-0.05465,0.13157
159,O=C(C1=CC=CC=C1)[CH-]C(N(CC)CC)=O,-0.07488,0.13554
160,O=C(C1=CC=CC=C1)[CH-]C(OCC)=O,-0.07797,0.13372
161,O=C(C1=CC=CC=C1)[CH-]C#N,-0.07334,0.13284
162,O=C(C1=CC=CC=C1)[CH-]C(C)=O,-0.07397,0.13449
163,O=C(C1=CC=CC=C1)[CH-]C(C2=CC=CC=C2)=O,-0.08709,0.11719
164,O=C(C1=CC=CC=C1)[CH-]S(=O)(C2=CC=CC=C2)=O,-0.1078,0.11686
165,O=C(C1=CC=CC=C1)[CH-][N+]([O-])=O,-0.09688,0.12228
166,C=C1CCC1,-0.29986,0.0505
167,O=C(C)[CH-]C1=CC=CC=C1,-0.03968,0.18587
168,O=S([CH-]C1=CC=CC=C1)(C2=CC=CC=C2)=O,-0.06734,0.12764
169,O=[N+]([CH-]C(OCC)=O)[O-],-0.08628,0.19274
170,CC(S1)=CC=C1[B-]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)OC(C)(C)C(C)(C)O2,-0.14235,0.11143
171,CC(S1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OC(C)(C)C(C)(C)O2,-0.13632,0.13296
172,CC(S1)=CC=C1[B-]2(C3=CC=C(Cl)C=C3)OC(C)(C)C(C)(C)O2,-0.13386,0.1478
173,CC(S1)=CC=C1[B-]2(C3=CC=CC=C3)OC(C)(C)C(C)(C)O2,-0.12826,0.15972
174,CC(S1)=CC=C1[B-]2(C3=CC=C(C)C=C3)OC(C)(C)C(C)(C)O2,-0.12858,0.15832
175,CC(S1)=CC=C1[B-]2(C3=CC=C(OC)C=C3)OC(C)(C)C(C)(C)O2,-0.12767,0.15732
176,CC(S1)=CC=C1[B-]2(C3=CC=C(N(C)C)C=C3)OC(C)(C)C(C)(C)O2,-0.12361,0.15797
177,C=C1CCCCC1,-0.29791,0.05572
178,CC(S1)=CC=C1[B-]2(C3=CC=C(C)S3)OC(C)(C)C(C)(C)O2,-0.12541,0.16133
179,CC(O1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OC(C)(C)C(C)(C)O2,-0.12644,0.13626
180,CC(S1)=CC=C1[B-]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)OCCO2,-0.14148,0.11299
181,CC(S1)=CC=C1[B-]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)OCC(C)(C)CO2,-0.14273,0.1129
182,CC(S1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OCC(C)(C)CO2,-0.13646,0.13271
183,CC(S1)=CC=C1[B-]2(C3=CC=C(C(F)(F)F)C=C3)OC4=C(C=CC=C4)O2,-0.11083,0.12234
184,C12=CC=CC=C1C=C[CH-]2,-0.03128,0.20214
185,C=C1CCCCCC1,-0.29773,0.05156
186,C[Sn](C1C2=CC=CC=C2C=C1)(C)C,-0.25768,0.01312
187,C[Si](C1C2=CC=CC=C2C=C1)(C)C,-0.26443,0.01026
188,CC1(C)O[B-](C2=CC=CC=C2)(CC3=CC=CC=C3)OC1(C)C,-0.11786,0.15374
189,NCCC1=CC=CC=C1,-0.29292,0.02922
190,CC1(C)O[B-](C2=CC=CC=C2)(C(C)C3=CC=CC=C3)OC1(C)C,-0.12006,0.15372
191,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(CC3=CC=CC=C3)OC1(C)C,-0.12783,0.13633
192,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)C3=CC=CC=C3)OC1(C)C,-0.13002,0.13552
193,CC1(C)O[B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C(C)C3=CC=CC=C3)OC1(C)C,-0.13636,0.112
194,C=C1CCCCCCC1,-0.29021,0.05111
195,CC1(C)O[B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(CC3=CC=CC=C3)OC1(C)C,-0.13377,0.11277
196,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)C)OC1(C)C,-0.12928,0.13857
197,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(C3CC3)OC1(C)C,-0.13295,0.14067
198,CC1(C)O[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)[H])OC1(C)C,-0.12788,0.14057
199,CC1(C)CO[B-](C2=CC=C(C(F)(F)F)C=C2)(C(C)C3=CC=CC=C3)OC1,-0.11966,0.13707
200,C=C1CCCCCCCC1,-0.29141,0.04806
201,O=C([C-](C(OCC)=O)C)C,-0.0547,0.21541
202,O=C1[C-](C(OCC)=O)CCC1,-0.06025,0.2149
203,O=C1[C-](C(OCC)=O)CCCC1,-0.05976,0.21268
204,O=C1[C-](C(OCC)=O)CCCCC1,-0.06155,0.20706
205,C=C1CCCCCCCCC1,-0.29207,0.04471
206,O=C1[C-](C(OCC)=O)CCCCCC1,-0.06376,0.2051
207,O=C1[C-](C(OCC)=O)CCCCCCCCCC1,-0.07685,0.19491
208,O=C1OCCC([C-]1C)=O,-0.06446,0.21743
209,O=C([C-]1CCCOC1=O)C,-0.06031,0.21405
210,Fc1c(F)c(F)c([BH-](c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c1F,-0.18458,0.11582
211,Fc1cc(F)c([BH-](c2c(F)cc(F)cc2F)c3c(F)cc(F)cc3F)c(F)c1,-0.15732,0.14106
212,Fc1cccc(F)c1[BH-](c2c(F)cccc2F)c3c(F)cccc3F,-0.14871,0.14448
213,CC(C)[C-](C(OCC)=O)C(OCC)=O,-0.06734,0.20673
214,CCCC[C-](C(OCC)=O)C(OCC)=O,-0.06373,0.19259
215,C=C1CCCCCCCCCC1,-0.29678,0.05737
216,O=C([C-](C1CCCCC1)C(OCC)=O)OCC,-0.07045,0.19235
217,O=C([C-](C1=CC=CC=C1)C(OCC)=O)OCC,-0.07534,0.16293
218,O=C([C-](C1=CC=C([N+]([O-])=O)C=C1)C(OCC)=O)OCC,-0.09729,0.08281
219,O=C([C-](C(OCC)=O)C(OCC)=O)OCC,-0.09419,0.19529
220,O=C(C)[C-](C(OCC)=O)C(OCC)=O,-0.09038,0.20009
221,O=C(C1=CC=CC=C1)[C-](C(OCC)=O)C(OCC)=O,-0.10168,0.12951
222,O=C1[C-](C(OC(C)(C)O1)=O)C2=CC=CC=C2,-0.08758,0.16625
223,O=C1[C-](C(OC(C)(C)O1)=O)C2=CC=C(OC)C=C2,-0.08279,0.16393
224,O=C([C-](C1=CC=C(OC)C=C1)C(OCC)=O)OCC,-0.07209,0.16598
225,C=C1CCCCCCCCCCC1,-0.29393,0.04379
226,[H][C@@](C1=CN=CC=C1)(CCC2)N2C,-0.28131,0.01259
227,CC1=CN=CC=C1,-0.30806,0.00957
228,CN1CCCC1C2=CC=CC=C2,-0.27698,0.02814
229,C1(N2CCOCC2)=CC=NC=C1,-0.27206,0.02412
230,C=C1CCCCCCCCCCCCCC1,-0.2975,0.06027
231,O=C1OC(C)(C)OC([C-]1[I+]C2=CC=CC=C2)=O,-0.27843,-0.03416
232,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C,-0.26504,0.05576
233,O=C1CC(C)(C)CC([C-]1[I+]C2=CC=CC=C2)=O,-0.26508,-0.02902
234,O=C([C-](C(N1C)=O)[I+]C2=CC=CC=C2)N(C)C1=O,-0.27558,-0.03802
235,O=C1OC(C)CC([C-]1[I+]C2=CC=CC=C2)=O,-0.27175,-0.03039
236,O=S([CH-]S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,-0.1216,0.11359
237,F[C-](S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,-0.11356,0.10725
238,O=S([C-](OC)S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,-0.10565,0.1091
239,O=S(C1=C(C=CC=C1)S2(=O)=O)([CH-]2)=O,-0.10513,0.11392
240,F[C-]1S(C2=C(C=CC=C2)S(=O)1=O)(=O)=O,-0.10981,0.10219
241,O=S(C1=C(C=CC=C1)S2(=O)=O)([C-]2OC)=O,-0.11852,0.11496
242,O=S([CH-]C(OCC)=O)(C1=CC=CC=C1)=O,-0.09898,0.13485
243,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C1=CC=CC=C1,-0.26584,0.00411
244,F[C-](C(OCC)=O)S(=O)(C1=CC=CC=C1)=O,-0.09018,0.12786
245,O=S([C-](OC)C(OCC)=O)(C1=CC=CC=C1)=O,-0.08732,0.13113
246,F[C-](C(OCC)=O)C(OCC)=O,-0.062,0.21578
247,Cl[C-](C(OCC)=O)C(OCC)=O,-0.06989,0.21499
248,O=C([C-](OC)C(OC)=O)OC,-0.06064,0.23247
249,Cl[CH-]S(=O)(C1=CC=CC=C1)=O,-0.06897,0.12688
250,Br[CH-]S(=O)(C1=CC=CC=C1)=O,-0.07519,0.12389
251,Cl[CH-]S(C1=CC=C(C#N)C=C1)(=O)=O,-0.08994,0.08384
252,Cl[CH-]S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,-0.09259,0.0507
253,Cl[CH-]S(C1=CC=C(Cl)C=C1)(=O)=O,-0.07612,0.11587
254,C=C(N(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)C,-0.26641,0.05179
255,O=C([C-](C(OCC)=O)C1=CC=CC=C1)OCC,-0.07615,0.16781
256,O=C([C-](C#N)C1=CC=CC=C1)OCC,-0.07382,0.16796
257,N#C[C-](C#N)C1=CC=CC=C1,-0.07255,0.15887
258,O=S([C-](C#N)C1=CC=CC=C1)(C2=CC=CC=C2)=O,-0.08285,0.10642
259,O=S([C-](S(=O)(C1=CC=CC=C1)=O)C2=CC=CC=C2)(C3=CC=CC=C3)=O,-0.11583,0.10251
260,O=C(C1=CC=CC=C1)[C-](C(C2=CC=CC=C2)=O)C3=CC=CC=C3,-0.08739,0.10992
261,CC(C)(C)P(C(C)(C)C)C1=CC=CC=C1,-0.2623,0.01097
262,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)CCC(OC)=O,-0.26935,0.04958
263,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,-0.22473,0.02711
264,CC(C=C1)=CC(C)=C1P(C2=C(C)C=C(C)C=C2)C3=CC=C(C)C=C3C,-0.25042,0.01289
265,COC1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3OC,-0.24184,0.01968
266,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,-0.25858,0.00747
267,C=C(Cl)C,-0.3086,0.04269
268,[O-]OC(C)(C)C,-0.00202,0.2416
269,C=CC,-0.31091,0.05218
270,[O-]OC(C)(C)C1=CC=CC=C1,-0.02037,0.15062
271,O=C(O[O-])CCCCCN1C(C(C=CC=C2)=C2C1=O)=O,-0.03175,0.0058
272,[O-]OC(CC1=CC=CC=C1)=O,-0.03978,0.1345
273,O=C(O[O-])C1=CC(Cl)=CC(Cl)=C1,-0.0591,0.10473
274,O=C(O[O-])C1=CC=CC=C1C([O-])=O,0.07308,0.26644
275,O=C(O[O-])C1=CC(Cl)=CC=C1,-0.05158,0.11789
276,O=C(O[O-])C1=CC=C(F)C=C1,-0.04714,0.13176
277,O=C(O[O-])C1=CC=C([N+]([O-])=O)C=C1,-0.06677,0.048
278,O=C(O[O-])C1=CC=C(OC)C=C1,-0.04135,0.13832
279,O=C(O[O-])C1=CC(Cl)=C(OC)C=C1,-0.04809,0.12731
280,C=CCCCC,-0.31149,0.05789
281,O=C(O[O-])C1=CC=CC=C1,-0.04326,0.13204
282,O=C1[CH-]C(NC(N1)=O)=O,-0.08535,0.22521
283,O=C1[CH-]C(N(C)C(N1C)=O)=O,-0.08693,0.21959
284,O=C1[CH-]C(NC(N1)=S)=O,-0.09885,0.16821
285,O=C1[CH-]C(N(CC)C(N1CC)=S)=O,-0.10163,0.16062
286,C=CCB1OC(C)(C)C(C)(C)O1,-0.29904,0.06235
287,F[B-](F)(F)C\C=C,-0.12522,0.21601
288,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,-0.13246,0.11575
289,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,-0.11458,0.17012
290,CC(O1)(C)C(C)(C)O[B-]1(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C/C=C/C,-0.12745,0.1113
291,CC1=CCCCC1,-0.28353,0.06559
292,COC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,-0.21641,0.00698
